COMID,Monitoring,lat,lon,AreaSqKM,wshd area,TotDASqKM,Source,GII,WT
8465273.0,21VASWCB-3-RPP147.49,38.5289,-77.8203,3.4686,0.0,9.0819,5,,
8467181.0,CBP_WQX-3-RAP030.21,38.36497,-77.97708,1.3977,0.0,73.6074,5,,
8475438.0,CBP_WQX-TF3.3,38.01847,-76.90928,0.9486,0.0,5111.7624,5,,
8476982.0,CBP_WQX-TF3.1B,38.24628,-77.23344,2.0808,0.0,4535.676,5,,
8476998.0,CBP_WQX-TF3.1E,38.24469,-77.32508,2.5794,0.0,4397.8527,5,,
8477102.0,CBP_WQX-TF3.2,38.17467,-77.18661,2.6703,0.0,4683.5046,5,,
8477154.0,CBP_WQX-TF3.2A,38.11295,-77.05482,5.0688,0.0,4949.784,5,,
8484062.0,CBP_WQX-TF3.1,38.32013,-77.47137,0.1611,0.0,4168.7739,5,,
8491712.0,CBP_WQX-RET4.2,37.57125,-76.79715,0.4131,0.0,2272.6872,5,,
8492938.0,21VASWCB-8-PCT000.76,37.9603,-77.3436,2.0529,0.0,127.4706,5,,
8494310.0,CBP_WQX-TF4.4,37.7228,-77.02566,1.2393,0.0,1929.1725,5,,
8508036.0,CBP_WQX-TF4.2,37.57999,-77.02128,0.144,0.0,3575.2914,5,,
8573941.0,21VASWCB-2-JMS110.30,37.5278,-77.435,35.6472,0.0,17610.0534,5,,
8573941.0,CBP_WQX-TF5.2,37.5305,-77.434,35.6472,0.0,17610.0534,5,,
8574089.0,21VASWCB-2-JMS113.20,37.532,-77.4834,0.5391,0.0,17534.3112,5,,
8574089.0,USGS-02037618,37.53153577,-77.4833181,0.5391,6776.0,17534.3112,5,,
9897008.0,CBP_WQX-LE4.1,37.41883,-76.69125,9.4041,0.0,6483.3147,5,,
9897110.0,CBP_WQX-LE4.2,37.29044,-76.57811,0.9342,0.0,25.0911,5,,
9897870.0,CBP_WQX-RET4.3,37.50869,-76.78889,0.8541,0.0,6176.8314,5,,
10055226.0,CBP_WQX-SBE2,36.8134,-76.2903,2.484,0.0,221.8455,5,,
10055318.0,CBP_WQX-WBE1,36.8432,-76.35939,0.3987,0.0,90.18,5,,
10055942.0,CBP_WQX-SBE5,36.76987,-76.29605,0.0261,0.0,6.5961,5,,
10056086.0,CBP_WQX-ELI2,36.88237,-76.33883,1.4472,0.0,10.0233,5,,
10057894.0,CBP_WQX-EBE1,36.8407,-76.28911,4.4559,0.0,104.5485,5,,
10064859.0,CBP_WQX-TF5.6,37.27272,-76.99057,8.6229,0.0,22922.1423,5,,
10065359.0,CBP_WQX-RET5.1A,37.3123,-76.87672,5.184,0.0,1068.7572,5,,
10067297.0,CBP_WQX-TF5.2A,37.45,-77.41883,3.5163,0.0,17697.9555,5,,
10067379.0,CBP_WQX-TF5.3,37.4031,-77.39272,2.8278,0.0,17943.237,5,,
10067505.0,CBP_WQX-TF5.5A,37.30165,-77.1284,3.8484,0.0,22578.7725,5,,
10072933.0,CBP_WQX-TF5.4,37.3124,-77.29133,7.4061,0.0,4141.3518,5,,
10073065.0,CBP_WQX-TF5.5,37.31265,-77.23283,2.6613,0.0,22430.3922,5,,
11909430.0,USGS-01594710,38.4770678,-76.7352426,8.001,3.26,12.6693,5,,
22302861.0,USGS-01311888,44.1305583,-73.96982778,0.8568,0.46,2.0862,5,,
22302863.0,USGS-01311893,44.11937778,-73.9826083,1.395,2.56,20.7486,5,,
22304159.0,USGS-01315170,43.9398333,-73.9536111,17.8614,6.86,17.8614,5,,
22305443.0,USGS-01311992,43.9822222,-74.2355556,0.3573,1.35,3.7944,5,,
22305627.0,USGS-01315088,43.85888888999999,-74.09377778,2.5128,0.0,3.4812,5,,
22305705.0,USGS-01313048,43.83788889,-74.47902778000001,8.4132,0.0,9.5436,5,,
22338097.0,CBP_WQX-ANA01,38.91817,-76.94164,0.0027,0.0,38.9853,5,,
22338109.0,CBP_WQX-ANA14,38.87734,-76.97553,10.0512,0.0,441.0531,5,,
22340551.0,CBP_WQX-PMS21,38.87428,-77.0422,0.1548,0.0,5.7447,5,,
22340557.0,CBP_WQX-ANA21,38.85289,-77.0047,8.5473,0.0,449.6004,5,,
22740165.0,USGS-01347258,43.18466667,-74.5041667,0.2457,0.0,3.5775,5,,
22741391.0,USGS-01347260,43.18108889,-74.5032,0.5004,1.58,4.0779,5,,
932030163.0,NJHDG-3,40.9413,-74.1482,2.3364,0.0,2070.4167,5,,
