,MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,DrainageAreaMeasure/MeasureValue
137,USGS-02290820,25.37104688,-80.8333895,
138,USGS-02290828,25.545075,-80.8121583,
139,USGS-02290830,25.46130775,-80.864612,
140,USGS-02290841,25.4470584,-80.8914574,
141,USGS-02290850,25.33567437,-81.1120205,
142,USGS-02290870,25.60905247,-80.9407914,
143,USGS-02291143,25.9667633,-81.5061929,
144,USGS-02291280,26.1728678,-81.7848099,
145,USGS-02291300,26.16731237,-81.7670317,
146,USGS-02292000,26.83983056,-81.0871583,
147,USGS-02292480,26.7897863,-81.3028506,
148,USGS-02292700,26.74481389,-81.511775,
149,USGS-02292900,26.72173487,-81.69313699,
150,USGS-02293000,26.6670152,-81.7320269,60.0
151,USGS-02293050,26.67034839,-81.7320269,70.0
152,USGS-02294491,27.93788056,-81.8507083,135.0
153,USGS-02294650,27.90224784,-81.8173036,390.0
154,USGS-02294781,27.82447253,-81.8017485,411.0
155,USGS-02294898,27.7514193,-81.7820266,480.0
156,USGS-02295637,27.5044825,-81.8009157,826.0
157,USGS-02296500,27.37504297,-81.7964708,330.0
158,USGS-02296750,27.22088245,-81.8761946,1367.0
159,USGS-02297100,27.16671794,-81.8795282,132.0
160,USGS-02297310,27.19949477,-81.9884193,218.0
161,USGS-02298123,27.05199986,-81.7845267,233.0
162,USGS-02298830,27.23521944,-82.3118944,229.0
163,USGS-02299470,27.07116727,-82.2178692,92.5
164,USGS-02299750,27.30865817,-82.4514844,24.0
165,USGS-02299950,27.47365137,-82.211201,65.3
166,USGS-02300000,27.47531814,-82.3012029,87.1
167,USGS-02300100,27.70475366,-82.1978672,31.4
168,USGS-02300200,27.5905913,-82.1823115,9.4
169,USGS-02300500,27.67114344,-82.3525925,149.0
170,USGS-02301000,27.8839148,-82.10008689,135.0
171,USGS-02301300,27.79669525,-82.1175877,107.0
172,USGS-02301350,27.93780175,-82.1561993,8.65
173,USGS-02301500,27.872248,-82.2112008,335.0
174,USGS-02301766,28.03474114,-82.342592,
175,USGS-02301802,27.9561331,-82.3706485,29.0
176,USGS-02302100,28.16001314,-82.1525846,1.6
177,USGS-02302500,28.1397222,-82.15,110.0
178,USGS-02303000,28.15029044,-82.23175318,220.0
179,USGS-02303200,28.0264089,-82.2364787,24.0
180,USGS-02303271,28.04807409,-82.26759,58.0
181,USGS-02303300,28.0680729,-82.2675895,60.0
182,USGS-02303330,28.0986111,-82.31138889,375.0
183,USGS-02303354,28.08807164,-82.3512024,410.0
184,USGS-02303400,28.32388889,-82.3836111,56.0
185,USGS-02303420,28.1872222,-82.4022222,117.0
186,USGS-02303800,28.08888889,-82.4091667,160.0
187,USGS-02304000,28.05446224,-82.3637032,630.0
188,USGS-02306006,28.0189078,-82.4675947,1.15
189,USGS-02306021,27.96529857,-82.4867617,0.51
190,USGS-02307000,28.03696237,-82.5759304,35.0
191,USGS-02307359,28.09643229,-82.6871441,30.0
192,USGS-02307671,27.97529783,-82.7273228,6.17
193,USGS-02307673,27.9730757,-82.7156559,6.73
194,USGS-02307731,27.9419656,-82.7498233,1.7
195,USGS-02308935,27.81419235,-82.6956554,2.55
196,USGS-02310000,28.21417784,-82.6664882,72.5
197,USGS-02310280,28.329172,-82.5367636,150.0
198,USGS-02310300,28.25731495,-82.6429044,182.0
199,USGS-02310305,28.2352882,-82.7003778,
200,USGS-02310650,28.71526419,-82.5767656,
201,USGS-02310750,28.90500349,-82.6351883,
202,USGS-02310800,28.36084067,-81.8186886,130.0
203,USGS-02310947,28.31195156,-82.05591468,280.0
204,USGS-02311500,28.3525042,-82.12591619,390.0
205,USGS-02312200,28.57277286,-82.155363,145.0
206,USGS-02312500,28.5927714,-82.222032,810.0
207,USGS-02312600,28.74359973,-82.2200892,995.0
208,USGS-02312700,28.8002651,-82.1528658,420.0
209,USGS-02313000,28.98886759,-82.3495406,1825.0
210,USGS-02313100,29.04942056,-82.44759948,
211,USGS-02313230,29.00997485,-82.6167699,2020.0
212,USGS-02313231,29.00997485,-82.6167699,
213,USGS-02314986,30.54466248,-82.7337418,50.0
214,USGS-02315000,30.5074414,-82.7162406,2090.0
215,USGS-02315005,30.4857755,-82.7120734,25.0
216,USGS-02315090,30.4291113,-82.6845719,17.5
217,USGS-02315500,30.3257812,-82.7381826,2430.0
218,USGS-02315520,30.3707788,-82.79985119,65.0
219,USGS-02315550,30.3929988,-82.9331875,2630.0
220,USGS-02319000,30.59548716,-83.2595906,2120.0
221,USGS-02320500,29.955785,-82.9276278,7880.0
222,USGS-02320700,29.84635394,-82.2195493,94.9
223,USGS-02321000,29.9982954,-82.2739992,191.0
224,USGS-02321500,29.9219073,-82.4262246,575.0
225,USGS-02321800,30.00412606,-82.572064,163.0
226,USGS-02322000,29.8427386,-82.6309512,868.0
227,USGS-02323500,29.58968017,-82.9365131,9640.0
228,USGS-02324000,29.78661294,-83.3215262,350.0
229,USGS-02326512,30.23131776,-83.918772,805.0
230,USGS-02326900,30.2714311,-84.1482508,535.0
231,USGS-02327100,30.12936856,-84.4943482,102.0
232,USGS-02329000,30.55408644,-84.3840715,1140.0
233,USGS-02329534,30.60019458,-84.5804676,16.8
234,USGS-02358000,30.7010251,-84.8590871,17200.0
235,USGS-02358700,30.42519625,-85.0313059,17600.0
236,USGS-02359000,30.53408319,-85.1651996,781.0
237,USGS-02359500,30.3846406,-85.5565932,122.0
238,USGS-02365200,30.94990438,-85.84299,3209.0
239,USGS-02365500,30.77574389,-85.827711,3499.0
240,USGS-02366500,30.4510296,-85.89826819,4384.0
241,USGS-02366900,30.53019486,-86.0874394,11.2
242,USGS-02368000,30.7529664,-86.6291207,624.0
243,USGS-02370100,30.72407879,-86.7927357,276.0
244,USGS-02370270,30.7268565,-86.8994058,142.0
245,USGS-02370500,30.70852375,-86.972186,237.0
246,USGS-02375500,30.96518304,-87.2341395,3817.0
247,USGS-02376000,30.7987991,-87.3680333,75.3
248,USGS-02376033,30.6701917,-87.2669179,4147.0
249,USGS-252500080341500,25.41705799,-80.57061518,
250,USGS-254542080493000,25.76204586,-80.82478739,
251,USGS-254543080191200,25.7623221,-80.3197738,
252,USGS-254620080395000,25.7726005,-80.6636718,
253,USGS-254754080344300,25.79755556,-80.5788611,
254,USGS-255600080484500,25.93370593,-80.8122861,
255,USGS-260031080145300,26.00897967,-80.24782659,
256,USGS-260333080084300,26.059533,-80.1450454,
257,USGS-260514080110800,26.08758763,-80.1853245,
258,USGS-260553080140200,26.09842069,-80.2336593,
259,USGS-260614080155900,26.10425388,-80.2661602,
260,USGS-260628080165700,26.10814264,-80.2822717,
261,USGS-260702080085800,26.1175864,-80.1492121,
262,USGS-260713080160000,26.12064215,-80.26643798,
263,USGS-260714080140800,26.12091985,-80.23532599,
264,USGS-260717080094700,26.12175296,-80.1628237,
265,USGS-260743080103100,26.12897495,-80.1750463,
266,USGS-260850080381000,26.1475862,-80.6358917,
267,USGS-260919080172300,26.15564086,-80.289494,
268,USGS-260945080533000,26.16286419,-80.8914539,
269,USGS-261030080131400,26.1753622,-80.2203254,
270,USGS-261034080093500,26.17647314,-80.1594901,
271,USGS-261240080494001,26.2114732,-80.8275631,
272,USGS-261335081352400,26.22675346,-81.5898047,
273,USGS-261349080121700,26.23063788,-80.2044915,
274,USGS-261945080530000,26.32952465,-80.88311979,
275,USGS-262400080230000,26.4003542,-80.3831066,
276,USGS-264100080210000,26.68367655,-80.34977178,
277,USGS-264332081373800,26.72590105,-81.6270245,
278,USGS-264346081301700,26.7131232,-81.5045219,
279,USGS-265558080104300,26.9331131,-80.1783779,
280,USGS-265713080095600,26.95394585,-80.16532189,
281,USGS-265725080071300,26.95727934,-80.1200428,
282,USGS-265808080073200,26.96922339,-80.1253207,
283,USGS-265833080095100,26.97616737,-80.1639329,
284,USGS-265907080103000,26.98561144,-80.1747666,
285,USGS-265910080365500,26.98644366,-80.6150558,
286,USGS-265920080091900,26.98922257,-80.1550438,
287,USGS-270022080094600,27.0161661,-80.1525437,
288,USGS-275647082240601,27.94668876,-82.4014824,
289,USGS-282135081345500,28.36000857,-81.5817405,
290,USGS-303342087140400,30.56630553,-87.2346942,
291,USGS-02231220,30.7766225,-81.978725,1180.0
292,21FLSFWM-ABOGG,28.3480625,-81.3195094,
293,21FLSFWM-ACBI,27.4932028,-81.2537875,
294,21FLSFWM-ACTG,27.493925,-81.3139553,
295,21FLSFWM-ADAKOTA,28.2591769,-81.2933981,
296,21FLSFWM-AG-DTH,26.9644997,-80.1719861,
297,21FLSFWM-AJIM,28.3450069,-81.2664531,
298,21FLSFWM-ARBK700A,27.5272572,-81.3586783,
299,21FLSFWM-ARBKSR98,27.4429275,-81.2968078,
300,21FLSFWM-ARCK 300,27.4700369,-81.2511764,
301,21FLSFWM-ARCK 301,27.5053133,-81.2514542,
302,21FLSFWM-ARCK 302,27.4932028,-81.2537875,
303,21FLSFWM-ARCK 303,27.4861475,-81.3028442,
304,21FLSFWM-ARCK 304,27.493925,-81.3139553,
305,21FLSFWM-ARCK 305,27.493925,-81.3139553,
306,21FLSFWM-ARCK 306,27.6336144,-81.4381242,
307,21FLSFWM-ARCK 307,27.6416975,-81.4095125,
308,21FLSFWM-ARCK 308,27.7419717,-81.4772914,
309,21FLSFWM-ARCK 311,27.5311461,-81.3456225,
310,21FLSFWM-ARCK 312,27.7183611,-81.4261792,
311,21FLSFWM-ARCK 314,27.5311739,-81.3677064,
312,21FLSFWM-ARS 01,27.3853183,-80.8372792,
313,21FLSFWM-ARS 02,27.3853183,-80.8372792,
314,21FLSFWM-ARS 03,27.3905958,-80.8633908,
315,21FLSFWM-ARS 04,27.3947625,-80.8270011,
316,21FLSFWM-ARS 05,27.4042069,-80.8081117,
317,21FLSFWM-ARS 06,27.4353172,-80.7931114,
318,21FLSFWM-ARS 07,27.3175425,-80.8078342,
319,21FLSFWM-ARS 08,27.3114317,-80.8011675,
320,21FLSFWM-ARS 09,27.3014319,-80.8220014,
321,21FLSFWM-ARS 10,27.2986542,-80.8275569,
322,21FLSFWM-ARS 11,27.2842103,-80.8220014,
323,21FLSFWM-ARS 12,27.3067094,-80.8342236,
324,21FLSFWM-ARS 13,27.2372672,-80.7811672,
325,21FLSFWM-ARS 14,27.203935,-80.7456111,
326,21FLSFWM-ARS 14A,27.2142125,-80.7456108,
327,21FLSFWM-ARS 14B,27.21699,-80.7456108,
328,21FLSFWM-ARS 15,27.2536556,-80.7700558,
329,21FLSFWM-ARS 16,27.2622664,-80.7428331,
330,21FLSFWM-ARS 17,27.2558778,-80.6944986,
331,21FLSFWM-ARS 39,27.1750472,-80.7017214,
332,21FLSFWM-ARS 40,27.1658808,-80.6869989,
333,21FLSFWM-AS-62,28.3636172,-81.2172853,
334,21FLSFWM-BARRON,25.9670414,-81.3497967,
335,21FLSFWM-BBROWNC,28.2750094,-81.4778447,
336,21FLSFWM-B-DAM,26.9486669,-80.1692083,
337,21FLSFWM-BEDITCH,28.3044531,-81.3953439,
338,21FLSFWM-BESHNGLE,28.2661208,-81.411455,
339,21FLSFWM-BILLYCRK,26.6511039,-81.8526989,
340,21FLSFWM-BJOHND,28.1769569,-81.4106219,
341,21FLSFWM-BJUDGESP,28.2880647,-81.3833992,
342,21FLSFWM-BMILLS,28.3152858,-81.3883992,
343,21FLSFWM-BNPARTD,28.1655686,-81.3117319,
344,21FLSFWM-BPARTINC,28.2791761,-81.3750658,
345,21FLSFWM-BPARTINP,28.246955,-81.3617322,
346,21FLSFWM-BS-59,28.2663989,-81.3095094,
347,21FLSFWM-BSPARTD,28.1552911,-81.3231208,
348,21FLSFWM-BSSTCLD,28.2314,-81.3395097,
349,21FLSFWM-BWDITCH,28.278065,-81.4172886,
350,21FLSFWM-BWHALEYC,28.1780683,-81.3231208,
351,21FLSFWM-BWSHNGLE,28.2675408,-81.4481669,
352,21FLSFWM-C111-1,25.3162286,-80.5089483,
353,21FLSFWM-C111-2,25.3095619,-80.4761697,
354,21FLSFWM-C111-4,25.3515047,-80.4728361,
355,21FLSFWM-C111-6,25.3137286,-80.5197819,
356,21FLSFWM-C111-7,25.2923403,-80.4622808,
357,21FLSFWM-C-111A,25.3303947,-80.5256153,
358,21FLSFWM-C-111B,25.2992844,-80.4772811,
359,21FLSFWM-C123SR84,26.1466697,-80.6335786,
360,21FLSFWM-C15S40,26.4245181,-80.0742069,
361,21FLSFWM-C15SR809,26.4246806,-80.1218236,
362,21FLSFWM-C16S41,26.5392075,-80.0566503,
363,21FLSFWM-C16SR809,26.5390247,-80.1227394,
364,21FLSFWM-C17S44,26.8175208,-80.0806544,
365,21FLSFWM-C17SR702,26.7594211,-80.0881497,
366,21FLSFWM-C181.9,26.9211678,-80.1644861,
367,21FLSFWM-C18G92,26.9104256,-80.1754842,
368,21FLSFWM-C18S46,26.9348242,-80.1413081,
369,21FLSFWM-C18SR710,26.8721547,-80.2455406,
370,21FLSFWM-C23S48,27.2023239,-80.2989842,
371,21FLSFWM-C23S97,27.2059186,-80.3404469,
372,21FLSFWM-C24S49,27.2618239,-80.3590636,
373,21FLSFWM-C25S50,27.4694969,-80.3379897,
374,21FLSFWM-C25S99,27.4725361,-80.4797717,
375,21FLSFWM-C38A0100,27.7181139,-81.1590725,
376,21FLSFWM-C38A1100,27.6806097,-81.1430392,
377,21FLSFWM-C38A1200,27.7081836,-81.1456569,
378,21FLSFWM-C38A1500,27.74479,-81.1716889,
379,21FLSFWM-C38A1600,27.7471225,-81.1757336,
380,21FLSFWM-C38A1700,27.7625189,-81.1725461,
381,21FLSFWM-C38A1800,27.7780631,-81.1872831,
382,21FLSFWM-C38B0100,27.5407228,-81.2014828,
383,21FLSFWM-C38B1000,27.6128425,-81.142615,
384,21FLSFWM-C38B1300,27.6483981,-81.138495,
385,21FLSFWM-C38C0100,27.4491131,-81.1574606,
386,21FLSFWM-C38C1200,27.4484939,-81.1649369,
387,21FLSFWM-C38C1500,27.4575853,-81.1643039,
388,21FLSFWM-C38D0100,27.3690464,-81.0569153,
389,21FLSFWM-C38D1300,27.3565833,-81.0325786,
390,21FLSFWM-C38E0100,27.2821489,-81.0045372,
391,21FLSFWM-C38E1200,27.2396858,-80.9859039,
392,21FLSFWM-C38E1201,27.2452658,-80.9924883,
393,21FLSFWM-C38E1350,27.3069794,-81.0108189,
394,21FLSFWM-C38E1450,27.3065536,-81.0100683,
395,21FLSFWM-C38E1750,27.3027947,-81.0061547,
396,21FLSFWM-C38W,27.2108342,-80.9365806,
397,21FLSFWM-C44S80,27.1104006,-80.2853042,
398,21FLSFWM-C51S155,26.6448725,-80.0547761,
399,21FLSFWM-C51SR7,26.6795094,-80.2019878,
400,21FLSFWM-CA1-03.0,26.4561842,-80.2250444,
401,21FLSFWM-CA1-06.0,26.4050764,-80.7358911,
402,21FLSFWM-CA1-20.0,26.4059089,-80.3944936,
403,21FLSFWM-CA1-23.0,26.4506294,-80.4306056,
404,21FLSFWM-CA1-34.0,26.6017342,-80.4411611,
405,21FLSFWM-CA1-39.0,26.6667314,-80.3906042,
406,21FLSFWM-CA1-42.0,26.667565,-80.3558808,
407,21FLSFWM-CA1-47.7,26.6045119,-80.27949,
408,21FLSFWM-CA1-55.0,26.5267369,-80.2258775,
409,21FLSFWM-CA3-1,26.2031389,-80.4617186,
410,21FLSFWM-CA3-2,26.2400819,-80.5197753,
411,21FLSFWM-CA3-3,26.3109131,-80.7117242,
412,21FLSFWM-CA3-4,26.1670294,-80.6108892,
413,21FLSFWM-CA3-5,26.2948031,-80.7853372,
414,21FLSFWM-CATFISHC,27.9641858,-81.4572903,
415,21FLSFWM-CC-35,28.1083481,-81.3475658,
416,21FLSFWM-COCAT951,26.2734194,-81.6892475,
417,21FLSFWM-COCEOF31,26.2725867,-81.7798056,
418,21FLSFWM-COCPALMR,26.2773086,-81.7775831,
419,21FLSFWM-CR-00.1,26.8400611,-81.1047875,
420,21FLSFWM-CR-00.2T,26.8395056,-81.0856203,
421,21FLSFWM-CR-03.0,26.8058958,-81.1136767,
422,21FLSFWM-CR-03.2T,26.7942297,-81.1008986,
423,21FLSFWM-CR-04.3T,26.7531203,-81.1133992,
424,21FLSFWM-CR-04.5,26.7928411,-81.1392328,
425,21FLSFWM-CR-04.8T,26.8097847,-81.1395106,
426,21FLSFWM-CR-06.0,26.7850636,-81.1600667,
427,21FLSFWM-CR-06.8T,26.7675644,-81.1717336,
428,21FLSFWM-CR-08.9T,26.8122847,-81.2059006,
429,21FLSFWM-CR-09.0,26.7553428,-81.2072897,
430,21FLSFWM-CR-11.0,26.7920081,-81.2372903,
431,21FLSFWM-CR-13.5,26.7933969,-81.28368,
432,21FLSFWM-CR-14.0T,26.7683981,-81.2714578,
433,21FLSFWM-CR-14.9T,26.7683981,-81.3117361,
434,21FLSFWM-CR-16.0,26.791175,-81.3234031,
435,21FLSFWM-CR-19.0,26.7892308,-81.3678483,
436,21FLSFWM-CR-22.0T,26.7628431,-81.4000714,
437,21FLSFWM-CR-22.5,26.7658986,-81.4222939,
438,21FLSFWM-CR-25.0T,26.7572881,-81.4595169,
439,21FLSFWM-CR-26.0,26.7475661,-81.4720172,
440,21FLSFWM-CR-26.2T,26.7378444,-81.4711839,
441,21FLSFWM-CR-29.3T,26.7470108,-81.5128514,
442,21FLSFWM-CR-30.3T,26.7531217,-81.5250739,
443,21FLSFWM-CR-30.4,26.7342336,-81.5214628,
444,21FLSFWM-CR-30.4T,26.7209014,-81.6681325,
445,21FLSFWM-CR-31.0T,26.7136789,-81.5178517,
446,21FLSFWM-CR-32.0,26.7159011,-81.5520192,
447,21FLSFWM-CR-33.5T,26.7095125,-81.5581303,
448,21FLSFWM-CR-36.0,26.7136792,-81.6131314,
449,21FLSFWM-CR-36.2T,26.7089572,-81.5997978,
450,21FLSFWM-CR-37.0,26.7184014,-81.6300761,
451,21FLSFWM-CR-38.2T,26.7261789,-81.6270206,
452,21FLSFWM-CR-39.0,26.7189572,-81.6617436,
453,21FLSFWM-CR-39.6T,26.7247903,-81.6686881,
454,21FLSFWM-CR-40.3,26.7203461,-81.6814661,
455,21FLSFWM-CREEDYBR,28.1508283,-81.4413136,
456,21FLSFWM-CREEDYCR,28.0475164,-81.3642328,
457,21FLSFWM-CS-61,28.1389028,-81.3517325,
458,21FLSFWM-CS-63A,28.07946,-81.2600644,
459,21FLSFWM-CULV10,26.7987156,-80.6940642,
460,21FLSFWM-CULV10A,26.9173039,-80.6128611,
461,21FLSFWM-CULV11,26.9658878,-80.6119978,
462,21FLSFWM-CULV12,26.7486625,-80.6834903,
463,21FLSFWM-CULV12A,26.7769781,-80.6932883,
464,21FLSFWM-CULV4A,26.6824011,-80.7501242,
465,21FLSFWM-CULV5,26.9195022,-81.1217317,
466,21FLSFWM-CYP-CK,26.9731106,-80.1739306,
467,21FLSFWM-D-846,26.6528456,-80.9020058,
468,21FLSFWM-DAV3,27.2503222,-80.70811,
469,21FLSFWM-DC-36,28.0366836,-81.3470103,
470,21FLSFWM-DDEADR,28.0677936,-81.3520103,
471,21FLSFWM-DLMARNCR,28.0519608,-81.46229,
472,21FLSFWM-DMACATAP,27.9991847,-81.3870111,
473,21FLSFWM-E05,27.8675222,-81.2799539,
474,21FLSFWM-EC-37,27.9836294,-81.3767333,
475,21FLSFWM-ECOCORIV,26.2723089,-81.7839722,
476,21FLSFWM-ENCON,26.9328342,-80.1817086,
477,21FLSFWM-ES-87,27.9427975,-81.3550661,
478,21FLSFWM-ESHORE,26.7489514,-80.6845003,
479,21FLSFWM-ESTERO,26.4350756,-80.8108931,
480,21FLSFWM-ETIGERCR,27.9225206,-81.3503439,
481,21FLSFWM-FAKA,25.9605069,-81.50951,
482,21FLSFWM-FECSR70,27.2092144,-81.4617375,
483,21FLSFWM-FECSR731,27.0628311,-81.4267375,
484,21FLSFWM-FECSR78,26.9633536,-81.1205908,
485,21FLSFWM-FECUS27,26.9328358,-81.3150692,
486,21FLSFWM-G123,26.1496206,-80.4422861,
487,21FLSFWM-G-92,26.9103347,-80.1742086,
488,21FLSFWM-GATORSLU,26.6946653,-82.0390983,
489,21FLSFWM-GGCAT31,26.1678683,-81.7673058,
490,21FLSFWM-GGCAT951,26.1695347,-81.6867483,
491,21FLSFWM-GORDONRV,26.1731461,-81.7850842,
492,21FLSFWM-HENDCRK,26.3453614,-81.6870247,
493,21FLSFWM-HGS3,26.6989544,-80.8067253,
494,21FLSFWM-HGS4,26.7011758,-80.7147786,
495,21FLSFWM-HGS5,26.8639467,-80.6319986,
496,21FLSFWM-HLC 24,27.1756028,-80.7017214,
497,21FLSFWM-HLC 25,27.1656031,-80.6872767,
498,21FLSFWM-HOBE-DTH,26.98561,-80.1753194,
499,21FLSFWM-IMPERIAL,26.3350842,-81.7553597,
500,21FLSFWM-INDUSCAN,26.7542308,-80.9186725,
501,21FLSFWM-ISTKC621,27.38068,-81.2039897,
